Zambia,5.89,3280.0,14.0,52.0
Libya,3.88,29600.0,14.2,76.1
Russia,5.08,23100.0,14.2,69.2
Belarus,5.61,16200.0,15.1,70.4
Nepal,5.25,1990.0,15.1,68.3
Indonesia,2.61,8430.0,15.3,69.9
Oman,2.77,45300.0,15.6,76.1
Iran,5.6,17400.0,15.9,74.5
Algeria,4.17,12900.0,16.1,76.5
Guinea,4.93,1190.0,16.1,58.0
Uzbekistan,5.81,4240.0,16.5,68.8
Gabon,3.5,15400.0,16.6,62.9
Ghana,5.22,3060.0,16.6,62.2
Iraq,8.41,12700.0,16.6,67.2
Brunei,2.84,80600.0,16.7,77.1
Saudi Arabia,4.29,45400.0,17.2,75.1
Sierra Leone,13.1,1220.0,17.2,55.0
Mauritania,4.41,3320.0,18.9,68.2
Kazakhstan,4.29,20100.0,19.5,68.4
Sudan,6.32,3370.0,19.6,66.3
"Congo, Rep.",2.46,5190.0,20.7,60.4
"Congo, Dem. Rep.",7.91,609.0,20.8,57.5
Argentina,8.1,18700.0,20.9,75.8
Angola,2.85,5900.0,22.4,60.1
Sri Lanka,2.94,8560.0,22.8,74.4
Yemen,5.18,4480.0,23.6,67.5
Equatorial Guinea,4.48,33700.0,24.9,60.9
Timor-Leste,9.12,1850.0,26.5,71.1
Mongolia,5.44,7710.0,39.2,66.2
Venezuela,4.91,16500.0,45.9,75.4
Nigeria,5.07,5150.0,104.0,60.5
